"","Value","Value"
"2023-01-30 16:00:00",6470,6435.94478969611
"2023-01-30 17:00:00",6416,6396.39705741652
"2023-01-30 18:00:00",4627,5162.24805670971
"2023-01-30 19:00:00",3270,3586.51413771605
"2023-01-30 20:00:00",2791,3071.72752062895
"2023-01-30 21:00:00",2116,2416.45227791514
"2023-01-30 22:00:00",1748,1864.30305421291
"2023-01-30 23:00:00",1103,1282.59757221089
"2023-01-31 00:00:00",902,950.29215105198
"2023-01-31 01:00:00",790,789.433481660131
"2023-01-31 02:00:00",821,884.950847059855
"2023-01-31 03:00:00",1681,1684.65391923735
"2023-01-31 04:00:00",3950,3795.10907167316
"2023-01-31 05:00:00",6678,6378.17891770311
"2023-01-31 06:00:00",6548,6395.24016179101
"2023-01-31 07:00:00",6469,5952.08532528795
"2023-01-31 08:00:00",5504,5746.43243814952
"2023-01-31 09:00:00",5039,5174.98266154334
"2023-01-31 10:00:00",5244,5041.84206244304
"2023-01-31 11:00:00",5004,5091.32999710404
"2023-01-31 12:00:00",5285,5234.28526054692
"2023-01-31 13:00:00",5183,5210.36193844181
"2023-01-31 14:00:00",5960,5895.59050393879
"2023-01-31 15:00:00",6639,6539.54614137345
"2023-01-31 16:00:00",6562,6426.51619811649
"2023-01-31 17:00:00",6126,6397.57482429339
"2023-01-31 18:00:00",5278,5176.49734415052
"2023-01-31 19:00:00",3679,3586.4590440079
"2023-01-31 20:00:00",2955,3076.25230120933
"2023-01-31 21:00:00",2428,2419.66173897031
"2023-01-31 22:00:00",1754,1870.69296962159
"2023-01-31 23:00:00",1218,1282.39458100297
